iter	Passed	Remaining
0	2	217
1	4	220
2	6	208
3	9	217
4	11	218
5	14	220
6	18	241
7	20	233
8	22	224
9	24	222
10	27	219
11	29	219
12	31	214
13	34	209
14	36	204
15	38	200
16	40	197
17	43	197
18	45	194
19	48	192
20	50	189
21	56	200
22	60	201
23	62	198
24	65	195
25	68	194
26	71	192
27	73	189
28	75	185
29	79	184
30	81	181
31	84	180
32	87	178
33	99	192
34	106	198
35	113	202
36	124	211
37	129	211
38	140	219
39	144	216
40	149	214
41	156	215
42	162	215
43	163	208
44	167	204
45	172	202
46	178	201
47	185	200
48	191	199
49	195	195
50	198	190
51	200	185
52	204	180
53	206	175
54	209	171
55	212	166
56	214	161
57	237	172
58	245	170
59	248	165
60	250	160
61	253	155
62	256	150
63	260	146
64	265	142
65	270	139
66	273	134
67	276	129
68	280	126
69	284	121
70	286	117
71	289	112
72	293	108
73	296	104
74	299	99
75	301	95
76	303	90
77	306	86
78	309	82
79	312	78
80	314	73
81	317	69
82	319	65
83	321	61
84	325	57
85	327	53
86	329	49
87	332	45
88	334	41
89	337	37
90	340	33
91	342	29
92	344	25
93	347	22
94	349	18
95	353	14
96	355	10
97	357	7
98	360	3
99	362	0
