iter	Passed	Remaining
0	1	1621
1	4	2002
2	6	2175
3	8	2064
4	9	1843
5	10	1682
6	10	1558
7	11	1457
8	12	1374
9	13	1302
10	13	1243
11	14	1196
12	15	1152
13	15	1124
14	16	1113
15	17	1095
16	18	1091
17	19	1072
18	20	1052
19	21	1032
20	21	1016
21	22	999
22	23	985
23	23	972
24	24	958
25	25	946
26	25	935
27	26	925
28	27	917
29	28	909
30	28	901
31	29	895
32	30	890
33	31	886
34	32	884
35	32	882
36	34	886
37	34	884
38	35	878
39	36	872
40	37	866
41	37	861
42	38	857
43	39	852
44	39	848
45	40	844
46	41	839
47	42	835
48	42	831
49	43	827
50	44	823
51	45	824
52	46	823
53	46	821
54	47	820
55	48	823
56	49	821
57	50	818
58	51	815
59	51	811
60	52	807
61	53	803
62	53	799
63	54	795
64	55	792
65	55	790
66	56	787
67	57	784
68	58	783
69	58	782
70	60	785
71	60	783
72	61	781
73	62	780
74	63	778
75	64	781
76	65	780
77	65	777
78	66	775
79	67	772
80	67	768
81	68	765
82	68	759
83	69	756
84	70	753
85	70	751
86	71	748
87	71	745
88	72	743
89	73	740
90	74	743
91	75	744
92	77	752
93	78	754
94	79	760
95	80	760
96	81	759
97	82	757
98	83	755
99	83	752
100	84	750
101	84	747
102	85	745
103	86	742
104	86	740
105	87	738
106	88	736
107	88	734
108	89	732
109	90	730
110	91	729
111	91	727
112	92	726
113	93	726
114	94	727
115	95	727
116	96	727
117	97	725
118	97	725
119	98	724
120	99	722
121	100	720
122	100	719
123	101	717
124	102	715
125	103	714
126	103	712
127	104	711
128	105	710
129	105	708
130	106	709
131	107	708
132	108	708
133	109	710
134	110	709
135	111	709
136	112	708
137	113	706
138	113	705
139	114	703
140	115	701
141	115	698
142	116	697
143	117	696
144	117	694
145	118	693
146	119	691
147	119	689
148	120	687
149	121	687
150	122	686
151	122	685
152	123	685
153	124	684
154	125	683
155	126	682
156	126	680
157	127	678
158	128	677
159	128	675
160	129	672
161	129	671
162	130	669
163	130	667
164	131	666
165	132	665
166	133	664
167	134	663
168	134	663
169	136	664
170	137	665
171	138	666
172	139	668
173	141	669
174	142	669
175	142	668
